car_model,car_year,car_vin,price,country,color
Navajo,1993,5N1AN0NW3FN831146,"€17051,31",Russia,Teal
Galant,2007,3C3CFFCRXET113123,"€41685,64",Philippines,Aquamarine
8 Series,1993,KNAFT4A23A5926340,"€12247,81",Indonesia,Green
Aviator,2003,WBADS43451G108816,"€18225,61",Philippines,Red
Passat,1994,5GTMNGEE7A8794605,"€31162,63",Indonesia,Khaki
CL-Class,2000,1C3BCBFG3CN662828,"€47194,52",Argentina,Yellow
Miata MX-5,2001,WBAVC73517A176456,"€5797,54",Honduras,Turquoise
XF,2009,KMHEC4A43FA889123,"€29423,85",China,Pink
Grand Vitara,2007,SALAG2D47DA255844,"€30444,60",Indonesia,Mauv
Xterra,2007,2HNYD18601H534922,"€58507,65",China,Puce
Uplander,2006,3D7JV1EP6AG863843,"€56638,22",Sweden,Khaki
Bravada,2001,1G6KD54Y35U079743,"€57911,15",Cameroon,Blue
Sierra 3500,2009,1GT010CG0CF086675,"€12645,23",Malaysia,Red
Civic,2011,WAUCKAFR3AA463150,"€15682,14",Egypt,Pink
Viper,2004,1GD312CG6CF301755,"€8162,75",Poland,Turquoise
Freelander,2008,JH4DC53855S624586,"€33949,57",Philippines,Orange
S80,1999,1N6AF0LXXEN114767,"€36493,82",Morocco,Pink
4Runner,2002,3C6JD6DT8CG367462,"€46634,00",Indonesia,Orange
Legend,1995,1FMEU8FE1AU752370,"€45056,82",Morocco,Pink
Q7,2009,SCFAB22381K694607,"€54082,80",Chad,Maroon
Savana 1500,2012,1J4NF1GB9BD109774,"€48424,35",Peru,Purple
Echo,2003,1G6DM57N630753544,"€24669,13",Philippines,Blue
XJ,2006,KNDJT2A15A7269361,"€16017,36",Indonesia,Maroon
Journey,2009,SCBCU7ZA5AC792283,"€23791,68",Argentina,Blue
Probe,1997,JN8CS1MU9DM156339,"€4412,30",United States,Pink
2500 Club Coupe,1995,SCBDC4BL5AC491529,"€57727,62",Czech Republic,Green
RX,2013,19XFB4F24FE950480,"€14640,98",Colombia,Teal
X5,2011,4USBT53545L650339,"€53903,03",Russia,Aquamarine
240SX,1993,3VWML7AJ0BM535433,"€28592,95",China,Indigo
Cavalier,1992,SCFHDDAT4EG161944,"€31032,26",Ukraine,Purple
Contour,1995,1GKKRNED6CJ956996,"€23026,21",Dominican Republic,Goldenrod
Jetta,2012,WBAYB6C5XFD487293,"€34522,96",Brazil,Crimson
RL,2002,WAUXL58E35A830487,"€53620,11",Chile,Fuscia
NSX,2003,WAUDFAFL3BN033164,"€47166,13",China,Indigo
F250,1999,WBAYE8C54FD418408,"€35011,46",Indonesia,Crimson
960,1993,WBAKG7C56DJ972476,"€14763,51",Jamaica,Khaki
Century,2005,4T1BK1EB6FU981774,"€30077,47",Albania,Crimson
Dakota Club,2003,1J4AA2D13AL465883,"€11109,34",Philippines,Goldenrod
Mulsanne,2011,WA1FFCFS5FR583781,"€30639,02",Saudi Arabia,Aquamarine
Safari,2005,5J6TF2H57DL623296,"€26191,96",Greece,Orange
Regency,1998,WA1WMBFE3BD797282,"€58400,66",Philippines,Teal
Sable,1987,WBA3V5C56EP519987,"€27784,39",Brazil,Aquamarine
Avenger,2008,WAUJT68EX4A345905,"€11875,01",China,Pink
S4,2011,5N1AT2MK2EC422467,"€46952,46",China,Teal
Mountaineer,2001,SAJWA6AT2F8667568,"€49641,59",Netherlands,Orange
Windstar,2003,WBACN53491L930132,"€29323,74",China,Yellow
Cooper,2007,WP0AB2A96FS942039,"€30397,58",China,Aquamarine
Intrigue,1998,ZFBCFADH7EZ561948,"€21998,91",Argentina,Goldenrod
SC,1996,WAUXD68D92A703944,"€58835,12",Indonesia,Fuscia
Odyssey,1998,WAULC58E05A148472,"€8859,37",Philippines,Pink
Marquis,1984,5J8TB3H56FL059667,"€21799,94",Indonesia,Teal
IS F,2009,WBA3B5C51DP743000,"€26277,60",Philippines,Indigo
Tracer,1994,JN8AE2KP6E9798362,"€12211,27",China,Fuscia
Civic,1996,JM3TB2BA1C0556242,"€10305,78",United States,Puce
IS,2012,KNDJT2A13A7229117,"€25336,10",Indonesia,Blue
Tacoma Xtra,2000,WBAKG1C50CJ717320,"€6109,71",Philippines,Purple
Baja,2003,WA1LMBFE6BD185659,"€55787,49",Philippines,Goldenrod
Venture,2000,WA1CGAFE9BD864343,"€14720,48",Philippines,Red
CL65 AMG,2009,SALFR2BG4EH813011,"€17858,29",China,Purple
7 Series,2009,5TDBK3EH2DS315808,"€40337,54",Indonesia,Fuscia
Civic Si,2006,3VWJX7AJ1AM535673,"€30513,00",Honduras,Fuscia
Firebird,2000,5N1AT2ML5FC066963,"€9894,79",Indonesia,Purple
JX,2013,WAULFAFR5BA884020,"€58065,45",Thailand,Blue
Esteem,1997,JH4DC54823C621375,"€57436,08",Vietnam,Khaki
Lucerne,2006,3VW4T7AT0EM640785,"€56666,90",Pakistan,Orange
Crossfire Roadster,2006,19XFB2E28CE260345,"€24290,12",South Korea,Aquamarine
Escalade,2011,SAJWJ0FF7F8118335,"€48543,62",China,Violet
240SX,1998,3MZBM1L70EM750334,"€8177,80",Niger,Maroon
Tundra,2001,WBAVM1C51EV612285,"€29365,23",China,Teal
Outlander,2008,WAULD54B02N414344,"€28621,37",Thailand,Maroon
RS6,2003,1G6DF577490966027,"€22772,51",Albania,Mauv
Century,1988,5UXFG8C51AL320907,"€33031,35",Luxembourg,Fuscia
Suburban 2500,2000,SCFKDCEPXEG825113,"€24904,92",Sweden,Puce
F250,2003,5N1AZ2MH5FN762706,"€47207,55",Philippines,Green
98,1995,1G4GF5G39FF620700,"€9431,64",Nigeria,Crimson
VS Commodore,1996,WP0AB2A86FK293253,"€46132,96",Chile,Indigo
XK,2006,WBSBL93456P739585,"€39387,92",Indonesia,Orange
GL-Class,2007,2G4GT5GV1C9284412,"€25234,85",Brazil,Red
Trooper,1995,WA1EY74L68D222973,"€5488,98",Indonesia,Khaki
Odyssey,2008,JN8AZ1MU4EW906917,"€30325,60",Norway,Violet
EX,2011,WAUSH78E47A421117,"€58079,97",Kazakhstan,Green
Concorde,2004,WAUJT64B22N577190,"€24953,70",Bangladesh,Pink
M6,2006,JH4DC53806S466515,"€48826,21",China,Purple
STS-V,2009,WAUDV94F08N728600,"€33898,82",Czech Republic,Purple
Dakota Club,2005,WVGAV7AX9CW716547,"€25742,23",China,Purple
3500,1999,JM1NC2EF3A0081213,"€23401,98",Indonesia,Blue
S2000,2005,JM3TB2BV3D0123882,"€48340,86",China,Violet
9000,1990,5FRYD3H69FB660130,"€57762,14",China,Turquoise
V50,2005,WAUSVAFA3AN421289,"€44061,75",Colombia,Khaki
Neon,1999,WAUWGBFB9BN092156,"€47442,31",France,Mauv
430,1991,WVGAK7A97AD112045,"€5076,63",Indonesia,Yellow
riolet,1994,3GYVKNEF8AG526278,"€27677,58",Philippines,Turquoise
V8,1991,JHMZF1C69ES787875,"€14296,25",Poland,Orange
TT,2001,WBA3N7C51FK266412,"€18380,05",Brazil,Red
Sportvan G10,1993,JH4DC53006S688062,"€40793,51",Lebanon,Indigo
Grand Prix,1972,4USFE43557L347658,"€6621,63",United States,Crimson
RX,2002,WP0AA2A96CS256775,"€17380,37",France,Orange
Corvette,2002,1G4HJ5EM3AU958225,"€9132,84",Vietnam,Mauv
